ICAO Code,IATA Code,Airport Name,City/Town,Country
EGQL,ADX,Leuchars,Leuchars,Uk
EGQS,LMO,Lossiemouth,Lossiemouth,Uk
EGSC,CBG,Cambridge,Cambridge,England
EGSH,NWI,Norwich,Norwich,England
EGSS,STN,Stansted,London,England
EGTE,EXT,Exeter,Exeter,England
EGTG,FZO,Bristol Filton,Bristol,England
EGTH,HTF,Hatfield,Hatfield,England
EGTK,OXF,Kidlington,Oxford,England
EGUN,MHZ,Mildenhall,Mildenhall,England
EGVA,FFD,Fairford,Fairford,England
EGVN,BZZ,Brize Norton,Brize Norton,England
EGVO,ODH,Odiham,Odiham,Uk
EGWU,NHT,Northolt Raf,Northolt,Uk
EGXC,QCY,Coningsby,Coningsby,England
EGXH,BEQ,Honington,Honington,England
EGXW,WTN,Waddington,Waddington,Uk
EGYC,CLF,Coltishall,Coltishall,England
EGYM,KNF,Marham,Marham,Uk
EGYP,MPN,Mount Pleasant,Mount Pleasant,Falkland Islands
EHAM,AMS,Schiphol,Amsterdam,Netherlands
EHBK,MST,Maastricht,Maastricht,Netherlands
EHEH,EIN,Eindhoven,Eindhoven,Netherlands
EHGG,GRQ,Eelde,Groningen,Netherlands
EHKD,DHR,De Kooy,De Kooy,Netherlands
EHLW,LWR,Leeuwarden,Leeuwarden,Netherlands
EHRD,RTM,Rotterdam,Rotterdam,Netherlands
EHSB,UTC,Soesterberg,Soesterberg,Netherlands
EHTW,ENS,Twenthe,Enschede,Netherlands
EHVB,LID,Valkenburg,Valkenburg,Netherlands
EHWO,WOE,Woensdrecht,Woensdrecht,Netherlands
EICK,ORK,Cork,Cork,Ireland
EICM,GWY,Galway,Galway,Ireland
EIDW,DUB,Dublin,Dublin,Ireland
EIKN,NOC,Connaught,Connaught,Ireland
EIKY,KIR,Kerry,Kerry,Ireland
EINN,SNN,Shannon,Shannon,Ireland
EISG,SXL,Sligo,Sligo,Ireland
EIWF,WAT,Waterford,Waterford,Ireland
EKAH,AAR,Aarhus,Aarhus,Denmark
EKBI,BLL,Billund,Billund,Denmark
EKCH,CPH,Kastrup,Copenhagen,Denmark
